"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-05-13","96.4","-1.59","6.48","Stowers, Kyle",669065,676962,"home_run","hit_into_play",,,,,5,"Kyle Stowers homers (8) on a fly ball to center field.","R","L","R","CHC","MIA","X",,"fly_ball",2,1,2025,"-0.7","1.33",0.20307570879445203,2.662607562289174,,,,1,2,"Top",123.41,33.36,,,,,6.396512527459788,-140.0657291612834,-7.634662196076655,-10.624320398313172,32.57966132767734,-13.072866926381568,3.57,1.69,410,"109",31,"97",2252,"6.8",777936,608348,683737,663538,670032,621020,673548,691718,663656,"53.71",0.951,1.919055555555556,"2",1,0,3,6,9,4,"4-Seam Fastball",0,0,0,0,1,0,1,0,"Infield shade","Standard",212,"-0.102","1.539","80.9","6.8",3.794,"-1.539","109.0",0,0,0.52,0.48,25,27,26,27,1,0,6,1,6,1,"1.13","0.7","-0.7","42.1",11.943279682067082,-0.8642320067519553,30.032706780723352,37.38497433845036,30.411260421814397
"SI","2025-04-18","88.5","3.41","5.11","Suzuki, Seiya",673548,573009,"home_run","hit_into_play",,,,,6,"Seiya Suzuki homers (5) on a fly ball to center field.","R","R","L","CHC","AZ","X",,"fly_ball",3,2,2025,"1.69","0.2",0.3973027342962254,2.307919752899154,,,,1,8,"Bot",151.56,22.45,,,,,-10.878796047986762,-128.40251134835754,-1.1329153916630679,20.987441847230233,26.558495769826557,-29.961680801198057,3.16,1.42,440,"108.9",23,"88.4",2227,"6.4",778268,672515,647304,694374,553993,672695,664983,677950,682998,"54.09",1,2,"2",1,0,3,6,81,7,"Sinker",12,11,12,11,11,13,13,11,"Standard","Standard",113,"0.077","1.505","76.2","6.9",4,"-1.505","108.9",1,1,0.855,0.855,34,30,34,31,1,4,3,2,23,1,"2.73","1.69","-1.69","14.2",2.6078930166054914,10.549092369537881,33.888749478721614,41.67259958869071,28.561502070383103
"FF","2025-07-20","94.8","-0.62","5.79","Abreu, Wilyer",677800,519151,"home_run","hit_into_play",,,,,6,"Wilyer Abreu homers (19) on a fly ball to right center field. Trevor Story scores.","R","L","R","CHC","BOS","X",,"fly_ball",0,1,2025,"0.25","1.12",0.33804332966023676,2.2027919571836954,,,596115,0,7,"Top",202.39,53.19,,,,,1.9660662755876845,-138.09473685869483,-6.270320508579821,2.7507651965187057,29.66653422416736,-16.608365250397664,3.45,1.61,406,"108.8",25,"95.3",2760,"6.5",777075,608348,457759,663538,807713,621020,664023,691718,663656,"54.05",0.942,1.8855588235294116,"2",1,0,3,6,51,2,"4-Seam Fastball",1,0,0,1,2,1,2,1,"Infield shade","Standard",199,"-0.323","1.101","76.5","7.5",3.718,"-1.101","108.8",1,-1,0.631,0.369,36,26,37,26,1,2,2,1,3,1,"1.4","-0.25","0.25","55.9",13.46414676760016,-9.960095572000569,33.73413692352574,32.63004216823797,32.20492590969039
"FF","2025-09-07","97.4","-0.89","5.72","Bell, Josh",605137,694037,"home_run","hit_into_play",,,,,9,"Josh Bell homers (17) on a fly ball to center field. CJ Abrams scores. James Wood scores.","R","L","R","CHC","WSH","X",,"fly_ball",0,0,2025,"-0.68","1.4",0.4053869152727091,2.1082899681893474,,682928,695578,0,9,"Top",86.91,53.96,,,,,5.0663056143062315,-141.59224346428326,-7.436364064306156,-10.295363326060174,32.50103997319453,-11.863993924489671,3.64,1.72,372,"108.8",34,"98",2352,"6.7",776420,608348,467793,663538,807713,621020,664023,682634,673548,"53.81",0.882,1.7945714285714285,"2",1,0,3,6,65,1,"4-Seam Fastball",3,2,2,3,5,3,5,3,"Standard","Standard",211,"-0.485","0.965","79.5","8.4",3.532,"-0.965","108.8",1,-1,0.561,0.43899999999999995,25,32,25,33,1,0,1,1,17,1,"1.01","0.68","-0.68","38.5",10.415603406232187,-2.21695619313984,38.20708918271191,34.32438657029551,28.274257507373378
"ST","2025-04-08","78.7","-1.21","6.13","Langford, Wyatt",694671,592791,"home_run","hit_into_play",,,,,5,"Wyatt Langford homers (4) on a fly ball to left center field.","R","R","R","CHC","TEX","X",,"fly_ball",1,1,2025,"1.51","-0.22",0.08241383902752175,2.763096230332252,,,,1,3,"Top",50.85,52.13,,,,,-0.005903458726354949,-114.57686382674488,0.03732538225329218,13.166895730822649,24.276688210922465,-34.355076235738224,3.4,1.59,407,"108.6",30,"79",2630,"6.8",778401,608348,457759,663538,807713,621020,664023,691718,663656,"53.72",0.97,1.964307692307692,"2",1,0,3,6,24,3,"Sweeper",3,2,2,3,3,3,3,3,"Standard","Standard",63,"-0.114","1.593","76.1","7.1",3.881,"-1.593","108.6",1,-1,0.639,0.361,33,23,34,24,2,1,6,1,6,12,"3.94","-1.51","-1.51","52.3",20.183866320347672,-4.4066208209993,28.16263021166895,38.8823540756116,35.89002217209406
"FF","2025-04-19","94.4","-2.69","5.98","Suzuki, Seiya",673548,668678,"home_run","hit_into_play",,,,,8,"Seiya Suzuki homers (6) on a fly ball to center field. Jon Berti scores.","R","R","R","CHC","AZ","X",,"fly_ball",2,2,2025,"-0.46","1.6",-0.26356073981274253,1.8961632066800531,,542932,,2,2,"Bot",92.07,37.46,,,,,7.378122818017808,-136.98087255930653,-8.479712934028594,-7.513477295575992,32.345975485307235,-10.259745551019181,3.16,1.42,408,"108.5",24,"94.5",2380,"6.7",778257,672515,647304,694374,553993,672695,664983,677950,682998,"53.82",0.924,1.827342105263158,"2",1,0,3,6,23,5,"4-Seam Fastball",3,1,3,1,1,5,5,1,"Standard","Standard",209,"0.131","1.674","76.4","7.5",3.585,"-1.674","108.5",2,2,0.732,0.732,29,30,30,31,2,1,6,1,6,1,"0.98","0.46","0.46","46.0",7.546931708797272,-7.778118377063884,35.85455345449725,34.90035619863768,34.36540235983111
"FF","2025-09-03","92.6","2.18","6.1","Kim, Ha-Seong",673490,519141,"home_run","hit_into_play",,,,,4,"Ha-Seong Kim homers (3) on a fly ball to left center field. Ozzie Albies scores. Michael Harris II scores.","R","R","L","CHC","ATL","X",,"fly_ball",0,0,2025,"0.11","1.33",-0.3010302931700515,2.222774404485164,645277,,671739,2,7,"Top",54.18,57.84,,,,,-6.494667182114614,-134.65945551572347,-6.915153270246775,2.697101308964751,29.431768267612572,-14.65502723146773,3.32,1.5,391,"108.5",22,"91.6",2702,"5.7",776473,624512,683737,663538,807713,621020,664023,650489,673548,"54.76",0.884,1.690175,"2",1,0,3,6,46,1,"4-Seam Fastball",1,0,0,1,3,1,3,1,"Standard","Standard",164,"-0.48","1.561","73.9","7.5",3.296,"-1.561","108.5",1,-1,0.692,0.30800000000000005,36,29,37,30,1,2,1,1,3,2,"1.33","0.11","-0.11","35.6",5.892958138987257,-9.793217181420834,27.120423476728707,32.97077469807198,31.717561076785703
"CU","2025-09-26","75.9","-1.96","6.82","Crow-Armstrong, Pete",691718,571945,"home_run","hit_into_play",,,,,4,"Pete Crow-Armstrong homers (30) on a fly ball to right center field. Kyle Tucker scores.","R","L","R","CHC","STL","X",,"fly_ball",2,1,2025,"0.49","-1.25",-0.41657859714305795,2.43484805800437,,,663656,2,4,"Bot",200.48,56.72,,,,,2.332469411937052,-110.41871006287052,0.23689561712223384,3.5328801700580144,22.324660486826506,-42.58463952388882,3.07,1.42,396,"108.4",33,"75.3",2649,"6.1",776167,686780,676475,669357,571448,695336,663457,687363,691023,"54.36",0.845,1.7031999999999998,"2",1,0,3,6,28,4,"Curveball",1,0,1,0,0,3,3,0,"Infield shade","Standard",31,"0.18","2.187","77.0","7.5",3.359,"-2.187","108.4",1,1,0.662,0.662,36,23,37,23,2,1,6,1,,1,"5.25","-0.49","0.49","52.5",23.59821546831158,-8.23711321179014,31.54009581150162,40.946521872027645,46.25249712536505
"CH","2025-09-25","87.5","-3.42","5.39","Suzuki, Seiya",673548,690997,"home_run","hit_into_play",,,,,5,"Seiya Suzuki homers (28) on a fly ball to left center field.","R","R","R","CHC","NYM","X",,"fly_ball",2,2,2025,"-0.89","-0.4",0.1212357813876409,2.088397561787419,,,,2,4,"Bot",75.92,30.12,,,,,10.33628036350386,-126.95566314320216,-0.9060847014782292,-11.880179113233618,27.98168764750776,-36.52742306749763,3.22,1.38,434,"108.4",30,"86.9",1481,"6.2",776187,620443,624413,682668,683146,596019,607043,621438,665742,"54.28",1,2,"2",1,0,3,6,33,5,"Changeup",0,6,0,6,6,1,1,6,"Standard","Standard",259,"0.028","2.632","77.6","8.0",4,"-2.632","108.4",-6,-6,0.041,0.041,23,30,24,31,2,1,5,1,,1,"3.41","0.89","0.89","28.7",12.121956334536392,-14.77792908659227,34.49150418316013,39.56143008912098,38.29372207180397
"FF","2025-06-19","95.6","-3.15","5.38","Swanson, Dansby",621020,642547,"home_run","hit_into_play",,,,,2,"Dansby Swanson homers (14) on a fly ball to left center field.","R","R","R","CHC","MIL","X",,"fly_ball",3,1,2025,"-0.47","1.25",0.22244800060394143,3.143192224803604,,,,2,4,"Bot",63.52,46.7,,,,,10.026909547807627,-138.9285669065118,-3.107037563993777,-8.290343062558541,30.495083930658446,-15.441743821731524,3.57,1.64,406,"108.4",28,"96.5",2426,"6.8",777450,661388,656555,668930,702332,687401,686555,694192,686217,"53.69",0.948,1.9146060606060609,"2",1,0,3,6,34,5,"4-Seam Fastball",2,5,2,5,5,3,3,5,"Standard","Standard",204,"0.083","2.442","72.9","7.3",3.79,"-2.442","108.4",-3,-3,0.179,0.179,29,31,29,31,2,1,6,2,5,1,"1.25","0.47","0.47","38.5",20.3357644225439,0.30209119352304925,26.35746277767267,39.41306648795262,35.41578859658322
