"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-08-21","90.8","2.63","5.39","Turang, Brice",668930,684007,"home_run","hit_into_play",,,,,9,"Brice Turang homers (14) on a fly ball to right center field. Christian Yelich scores.","R","L","L","CHC","MIL","X",,"fly_ball",2,0,2025,"1.18","1.51",0.4199538432890002,1.8826318097411003,,,592885,2,2,"Top",204.86,66.11,,,,,-8.0449532572555,-131.76152786632179,-5.986720426487868,15.594320621125384,31.455509328974582,-13.51965165003637,3.46,1.6,381,"108.2",23,"90",2497,"6.2",776651,624512,683737,663538,650489,621020,664023,691718,663656,"54.3",0.861,1.671750000000001,"2",1,0,3,6,10,3,"4-Seam Fastball",0,0,0,0,2,0,2,0,"Standard","Standard",142,"-0.188","2.143","76.6","7.7",3.262,"-2.143","108.2",0,0,0.521,0.479,31,25,32,26,1,0,5,1,7,1,"1.3","1.18","1.18","35.8",17.06597523896686,-11.127338204937885,37.24177208950813,31.867804012051174,45.268985594838604
"FC","2025-05-13","85.8","-1.22","6.21","Crow-Armstrong, Pete",691718,678368,"home_run","hit_into_play",,,,,5,"Pete Crow-Armstrong homers (11) on a fly ball to right field.","R","L","R","CHC","MIA","X",,"fly_ball",2,1,2025,"0.98","0.63",-0.03803835834050351,2.4411695400771967,,,,2,3,"Bot",232.93,77.5,,,,,0.8106290029069815,-124.92029059385123,-3.935464571594739,10.087959207291204,24.67544256947696,-24.948514063111396,3.09,1.48,397,"108.1",32,"85.2",2704,"5.8",777936,682663,676572,691594,681393,669364,669065,656537,660821,"54.66",0.888,1.788,"2",1,0,3,6,22,4,"Cutter",0,1,0,1,1,1,1,1,"Infield shade","Standard",125,"0.121","2.559","77.1","7.7",3.53,"-2.559","108.1",-1,-1,0.391,0.391,25,23,25,23,2,1,6,1,6,1,"2.45","-0.98","0.98","51.5",23.729392317841942,-9.956337342111983,31.414844171494913,35.62208760155768,44.68279581857261
"FF","2025-08-03","92.8","1.83","5.9","Turner, Justin",457759,669211,"home_run","hit_into_play",,,,,5,"Justin Turner homers (3) on a fly ball to left center field. Dansby Swanson scores.","R","R","L","CHC","BAL","X",,"fly_ball",0,0,2025,"1.01","1.4",0.14360800156147957,2.815296335858183,,,621020,0,9,"Bot",91.18,37.42,,,,,-6.437333730230645,-135.00978327593438,-5.1090548226124115,13.785985255158838,28.767775733568318,-14.165967620988987,3.45,1.6,408,"108",24,"91.8",2266,"5.7",776888,668939,691723,702616,676059,683002,681297,677941,666185,"54.84",0.897,1.7653695652173917,"2",1,0,3,6,75,1,"4-Seam Fastball",3,3,3,3,3,5,5,3,"Standard","Standard",138,"0.29","1.059",,,3.465,"-1.059","108.0",0,0,0.71,0.71,30,40,30,41,1,0,1,4,3,1,"1.25","1.01","-1.01","43.3",,,,,
"CH","2025-06-01","77.1","-1.53","6.34","Busch, Michael",683737,607259,"home_run","hit_into_play",,,,,4,"Michael Busch homers (8) on a fly ball to right center field. Dansby Swanson scores.","R","L","R","CHC","CIN","X",,"fly_ball",0,1,2025,"-0.88","0.52",-0.6568870365661889,2.3930328332718616,,621020,,2,3,"Bot",176.32,39.54,,,,,3.43050545709891,-112.26609951969033,-2.3337414266318453,-8.03674883705986,21.515250512663457,-27.548627075436787,3.33,1.57,413,"107.9",26,"76.5",1822,"6",777687,663886,668715,680574,669289,682829,666181,670770,641584,"54.51",0.927,1.863085106382979,"2",1,0,3,6,25,2,"Changeup",2,0,2,0,0,4,4,0,"Infield shade","Standard",250,"0.13","1.644","73.3","7.3",3.683,"-1.644","107.9",2,2,0.75,0.75,34,27,35,28,2,1,6,2,6,2,"3.32","0.88","-0.88","57.4",18.113225559004388,0.03774555331038015,33.32147618800979,42.138377216053804,37.257920376190526
"FC","2025-05-12","90.6","-1.32","6.35","Swanson, Dansby",621020,615698,"home_run","hit_into_play",,,,,1,"Dansby Swanson homers (9) on a fly ball to left center field. Nico Hoerner scores.","R","R","R","CHC","MIA","X",,"fly_ball",3,1,2025,"-0.19","0.92",-0.6273986252044218,3.1092713267767746,,663538,,0,5,"Bot",67,55,,,,,2.134195639847941,-131.94219379247,-4.133072609100218,-2.6714166328266296,29.156405239758822,-20.738994536644547,3.57,1.69,400,"107.8",32,"90.7",2162,"6.4",777952,689414,670223,682927,688363,669364,669065,656537,660821,"54.09",0.888,1.788,"2",1,0,3,6,35,5,"Cutter",0,0,0,0,0,2,2,0,"Standard","Standard",187,"0.151","0.849","71.3","7.1",3.53,"-0.849","107.8",0,0,0.661,0.661,30,31,30,31,2,1,6,1,6,1,"1.86","0.19","0.19","43.4",21.02731198846983,-2.096062903166971,32.9837883238734,31.42219999697915,34.7089091854797
"FC","2025-04-08","86.3","2.77","6.13","Swanson, Dansby",621020,571578,"home_run","hit_into_play",,,,,1,"Dansby Swanson homers (4) on a fly ball to left field.","R","R","L","CHC","TEX","X",,"fly_ball",2,2,2025,"-0.03","0.25",-0.4003490220189692,3.042855873062942,,,,0,2,"Bot",16.89,80.64,,,,,-7.523548675212327,-125.60375527112046,-1.6598836836011817,1.10300752821949,24.387337840579782,-29.404495260615036,3.58,1.66,395,"107.7",29,"87.1",2367,"6.7",778401,641680,669701,543760,673962,608369,694671,665750,666969,"53.8",0.934,1.8955172413793107,"2",1,0,3,6,15,5,"Cutter",0,2,0,2,2,1,1,2,"Standard","Standard",165,"0.106","1.141","74.0","7.4",3.743,"-1.141","107.7",-2,-2,0.337,0.337,35,31,36,31,1,0,,1,8,1,"2.8","-0.03","0.03","34.4",20.384150771146796,-16.485430381260283,30.581688155517767,31.149937580668528,40.15977068977351
"SL","2025-09-01","83.5","-1.76","5.76","Happ, Ian",664023,675911,"home_run","hit_into_play",,,,,8,"Ian Happ homers (19) on a fly ball to right center field.","R","L","R","CHC","ATL","X",,"fly_ball",2,2,2025,"0.41","0.1",0.04180187794274598,1.7149120957792463,,,,1,4,"Bot",198.58,57.3,,,,,3.3766905747032085,-121.72115644467357,-3.1569632590676306,3.4695650583738757,22.26415087910236,-30.830705413849902,3.65,1.68,393,"107.7",25,"84.7",2248,"6.8",776506,686948,621566,645277,805373,669397,641584,671739,660670,"53.67",0.93,1.851048780487806,"2",1,0,3,6,33,5,"Slider",0,3,0,3,3,1,1,3,"Infield shade","Standard",146,"0.094","1.609","75.3","7.3",3.648,"-1.609","107.7",-3,-3,0.188,0.188,26,30,27,31,2,1,7,1,8,1,"3.14","-0.41","0.41","41.0",10.610531596254098,-9.608516576631224,39.19343361278771,35.247479753898425,39.84336078692923
"FS","2025-09-14","83.2","2.69","5.58","Díaz, Yandy",650490,684007,"home_run","hit_into_play",,,,,5,"Yandy Díaz homers (24) on a fly ball to center field.","R","R","L","CHC","TB","X",,"fly_ball",2,1,2025,"1.05","0.42",-0.21876335357444332,2.338132418712226,,,,0,1,"Top",85.51,28.38,,,,,-8.666380050542791,-120.85883732451077,-1.815156269537273,11.904917830640738,22.15798687530183,-27.89749515879773,3.48,1.61,433,"107.7",24,"82.9",1463,"6.1",776321,624512,683737,663538,807713,621020,664023,691718,650489,"54.43",1,2,"2",1,0,3,6,1,4,"Split-Finger",0,0,0,0,1,0,1,0,"Standard","Standard",116,"-0.092","1.068","79.8","7.9",4,"-1.068","107.7",0,0,0.496,0.504,31,33,32,34,1,0,6,1,5,1,"2.87","1.05","-1.05","34.7",0.6475892338555053,-4.053502219973803,25.61249855071305,37.43884101860297,36.57544200727418
"FF","2025-04-05","90.9","-0.89","7","Swanson, Dansby",621020,601713,"home_run","hit_into_play",,,,,5,"Dansby Swanson homers (3) on a fly ball to center field.","R","R","R","CHC","SD","X",,"fly_ball",2,0,2025,"-0.1","1.75",0.1870417266400101,2.8864078108228224,,,,1,3,"Bot",115.01,34.47,,,,,2.930971784949077,-132.07534593105555,-8.18738800368158,-1.8030070547107004,30.562673657446574,-10.144008848076119,3.6,1.72,420,"107.6",26,"91.7",2309,"7",778450,553869,650333,630105,592518,593428,663604,701538,665487,"53.47",0.927,1.863085106382979,"2",1,0,3,6,26,3,"4-Seam Fastball",2,0,2,0,0,3,3,0,"Standard","Standard",192,"0.074","1.473","71.5","7.2",3.683,"-1.473","107.6",2,2,0.754,0.754,32,31,32,31,2,1,6,1,6,1,"1.04","0.1","0.1","63.8",15.729679161095456,5.214428304815549,31.88683535155689,36.818924427479146,32.626287252795294
"FF","2025-09-12","93.5","2.42","5.61","Morel, Christopher",666624,571510,"home_run","hit_into_play",,,,,3,"Christopher Morel homers (11) on a fly ball to left center field. Chandler Simpson scores. Yandy Díaz scores.","R","R","L","CHC","TB","X",,"fly_ball",0,1,2025,"0.98","0.98",0.48533263670733795,3.0947396079252556,,802415,650490,0,1,"Top",63.77,57.04,,,,,-7.1557275345023585,-136.07652089741583,-2.9434966471445327,13.739746196861832,26.967191723716788,-19.490644644265252,3.66,1.67,383,"107.4",37,"93.8",2297,"6.3",776352,608348,683737,663538,807713,621020,664023,691718,650489,"54.23",0.629,1.2682,"2",1,0,3,6,3,2,"4-Seam Fastball",0,0,0,0,3,0,3,0,"Standard","Standard",130,"-0.181","1.018","72.5","8.1",2.494,"-1.018","107.4",0,0,0.417,0.583,34,26,34,26,1,0,6,1,5,2,"1.61","0.98","-0.98","24.8",18.556911485564896,-7.124104955709402,24.5010351847539,42.90020557278362,31.361205369223644
"SI","2025-04-18","87.7","3.31","5.26","Tucker, Kyle",663656,573009,"home_run","hit_into_play",,,,,6,"Kyle Tucker homers (6) on a line drive to right field. Ian Happ scores.","R","L","L","CHC","AZ","X",,"line_drive",0,0,2025,"1.49","0.3",0.4161267830841058,2.496441339930586,,,664023,1,8,"Bot",217.27,76.72,,,,,-10.102077239900666,-127.3094019069298,-1.1333401292397738,18.335876490056965,26.52249056924784,-28.926726108043276,3.45,1.59,387,"107.3",24,"87.8",2240,"6.5",778268,672515,647304,694374,553993,672695,664983,677950,682998,"53.96",0.821,1.599568965517241,"2",1,0,3,6,80,1,"Sinker",10,11,10,11,11,12,12,11,"Infield shade","Standard",109,"0.537","1.465","76.8","7.6",3.129,"-1.465","107.3",-1,-1,0.316,0.316,34,28,34,28,1,4,3,2,23,1,"2.68","1.49","1.49","17.1",14.602909515127156,-13.931549766375237,34.356510513441634,35.59177078808489,33.32198802286567
"FC","2025-07-21","86.8","-0.74","6.85","Perez, Salvador",521692,623167,"home_run","hit_into_play",,,,,8,"Salvador Perez homers (17) on a line drive to center field. Maikel Garcia scores.","R","R","R","CHC","KC","X",,"line_drive",1,1,2025,"0.68","0.39",0.2641261391565703,2.0397713711555148,,672580,,0,8,"Top",101.61,41.84,,,,,1.0090806632646663,-126.45829028623835,-6.166109261867622,7.168195034827241,23.75330056424835,-27.01875703953047,3.65,1.67,408,"107.2",22,"86.8",2488,"6",777065,608348,683737,663538,807713,621020,664023,673548,663656,"54.45",0.715,1.306761904761905,"2",1,0,3,6,60,3,"Cutter",4,8,8,4,10,4,10,4,"Infield shade","Standard",159,"-0.018","1.008","73.6","8.4",2.509,"-1.008","107.2",-4,4,0.026,0.974,30,35,31,35,2,3,10,1,4,1,"2.61","-0.68","-0.68","64.3",10.91224581345483,-10.451373188328065,34.50337652129066,39.91220581064346,31.337339070275615
"FF","2025-09-05","94.8","2.79","5.68","Happ, Ian",664023,663455,"home_run","hit_into_play",,,,,6,"Ian Happ homers (20) on a fly ball to center field.","R","R","L","CHC","WSH","X",,"fly_ball",2,1,2025,"0.93","1.34",0.3311117578058528,2.8354668925258393,,,,0,8,"Bot",104.19,29.32,,,,,-8.530206723614153,-137.643193333199,-4.671109983801585,13.906818789304022,35.09664836840634,-14.31558975065922,3.61,1.67,423,"107.2",28,"94.4",2473,"6.5",776455,656180,665953,671277,691781,682928,695578,690987,695734,"53.98",0.905,1.8251785714285718,"2",1,0,3,6,69,4,"4-Seam Fastball",10,5,10,5,5,11,11,5,"Standard","Standard",135,"0.003","1.068","75.4","7.2",3.606,"-1.068","107.2",5,5,0.995,0.995,27,30,28,31,1,4,3,2,5,1,"1.24","0.93","-0.93","25.5",8.600716845719024,-5.006797242643938,27.4585800741469,,
"FF","2025-07-04","91.7","-2.38","6.71","Busch, Michael",683737,571945,"home_run","hit_into_play",,,,,6,"Michael Busch homers (15) on a fly ball to right center field.","R","L","R","CHC","STL","X",,"fly_ball",1,0,2025,"-0.5","1.33",0.39690928406818526,2.4963145594155796,,,,0,2,"Bot",206.85,54.4,,,,,8.060885523229011,-133.23821661186884,-7.632298580705237,-7.640462838078279,28.131842313167912,-14.849972967658509,3.35,1.58,408,"107.1",37,"91.4",2295,"6.2",777246,686780,575929,680977,571448,691026,663457,687363,676475,"54.33",0.629,1.2682,"2",1,0,3,6,12,2,"4-Seam Fastball",2,0,2,0,0,3,3,0,"Infield shade","Standard",220,"0.071","1.073",,,2.494,"-1.073","107.1",2,2,0.75,0.75,36,27,37,28,1,0,6,1,6,1,"1.39","0.5","-0.5","46.1",,,,,
"FC","2025-05-14","88.1","-1.35","6.1","Stowers, Kyle",669065,592791,"home_run","hit_into_play",,,,,4,"Kyle Stowers homers (9) on a fly ball to left center field.","R","L","R","CHC","MIA","X",,"fly_ball",2,0,2025,"0.25","1.04",-0.286456419385424,2.3500343304947036,,,,1,2,"Top",61.43,60.99,,,,,2.073318906292882,-128.3100927842586,-5.259974496086926,2.402167009122724,24.1193474811048,-19.83705485671969,3.56,1.69,377,"107",37,"89.1",2481,"6.7",777921,665804,457759,663538,542932,621020,673548,691718,663656,"53.81",0.629,1.2682,"2",1,0,3,6,9,3,"Cutter",0,0,0,0,1,0,1,0,"Infield shade","Standard",182,"-0.097","1.473","77.1","7.2",2.494,"-1.473","107.0",0,0,0.515,0.485,33,27,34,27,1,0,5,1,6,2,"1.87","-0.25","0.25","42.7",11.638330784943095,0.6464269493107799,35.079187674293586,42.431032152140446,33.44762080800466
"FF","2025-04-22","91.8","2.51","5.42","Pages, Andy",681624,684007,"home_run","hit_into_play",,,,,4,"Andy Pages homers (3) on a fly ball to left center field.","R","R","L","CHC","LAD","X",,"fly_ball",2,2,2025,"0.68","1.62",-0.6717560591509135,2.7909376049720347,,,,2,2,"Top",39.15,53.2,,,,,-9.508867589284012,-133.27996964353156,-4.223320271457812,10.31451447611032,31.560360590312744,-12.196607363653655,3.5,1.64,418,"106.9",35,"91.3",2398,"6.3",778220,665804,683737,663538,669398,621020,664023,691718,663656,"54.16",0.758,1.5221052631578948,"2",1,0,3,6,18,8,"4-Seam Fastball",5,3,3,5,4,5,4,5,"Standard","Standard",140,"-0.093","2.632","77.2","8.2",3.006,"-2.632","106.9",2,-2,0.738,0.262,31,24,32,25,1,0,7,3,7,1,"1.12","0.68","-0.68","36.1",23.454781087400587,-13.447915334880843,41.230620902043235,31.62993833564994,37.559483465303394
"SI","2025-07-23","94","-2.45","4.58","Crow-Armstrong, Pete",691718,670167,"home_run","hit_into_play",,,,,9,"Pete Crow-Armstrong homers (27) on a fly ball to right field.","R","L","R","CHC","KC","X",,"fly_ball",2,2,2025,"-1.67","0.14",0.734204997376197,1.8183818203329079,,,,1,8,"Bot",219.66,74.59,,,,,11.930118213728594,-136.29136088967346,-1.6798878284849157,-23.515746935293013,31.765430642218153,-30.25194430521734,3.09,1.48,383,"106.8",22,"93.6",2182,"6.4",777031,666023,686469,663697,624428,672580,670231,664728,695506,"54.11",0.715,1.306761904761905,"2",1,0,3,6,65,5,"Sinker",3,8,3,8,8,4,4,8,"Infield shade","Standard",244,"0.016","1.609","75.7","7.3",2.509,"-1.609","106.8",-5,-5,0.012,0.012,31,23,31,23,1,3,2,1,3,2,"2.47","1.67","-1.67","12.0",15.580010767716148,-8.376731868127903,38.47110368056404,27.22621996152018,40.056456542593665
"FC","2025-04-26","89.9","-2.03","5.25","Kepler, Max",596146,681799,"home_run","hit_into_play",,,,,6,"Max Kepler homers (2) on a fly ball to right field.","R","L","R","CHC","PHI","X",,"fly_ball",0,0,2025,"0.07","1.15",0.49108115890773657,2.314300584026777,,,,1,7,"Top",223.52,85.13,,,,,6.112099096497112,-130.87183942060017,-3.7942629042112554,-0.4013932852374789,25.674344543527294,-18.294386995859178,3.51,1.71,369,"106.7",23,"90.5",2537,"6.5",778174,665804,457759,663538,542932,621020,664023,691718,663656,"54.04",0.79,1.49468085106383,"2",1,0,3,6,59,1,"Cutter",2,9,9,2,10,2,10,2,"Standard","Standard",196,"-0.004","1.583","77.2","7.4",2.899,"-1.583","106.7",-7,7,0.009,0.991,27,32,28,32,1,3,4,1,85,1,"1.65","-0.07","0.07","32.9",8.44917127765137,-7.623724871619695,31.68385605198144,35.61586091339842,34.730778177970706
"ST","2025-07-20","82.8","-2.17","5.12","Abreu, Wilyer",677800,681799,"home_run","hit_into_play",,,,,9,"Wilyer Abreu homers (20) on a fly ball to right field.","R","L","R","CHC","BOS","X",,"fly_ball",3,2,2025,"1.73","0.11",0.37717323952892934,1.6905335564712503,,,,2,8,"Top",221.45,71.98,,,,,2.434393353225121,-120.61478452648923,-1.5632402237433345,16.337214615052755,24.283672597896604,-30.98516162107604,3.45,1.61,391,"106.7",38,"82.8",3120,"6.3",777075,608348,683737,663538,457759,621020,664023,691718,663656,"54.22",0.674,1.3558,"2",1,0,3,6,63,6,"Sweeper",1,5,5,1,6,1,6,1,"Infield shade","Standard",68,"-0.021","2.528","77.0","8.1",2.675,"-2.528","106.7",-4,4,0.042,0.958,27,26,28,26,1,3,85,1,,1,"3.21","-1.73","1.73","32.6",19.06358174038384,-17.729827678277324,39.053268333953746,32.64325812970412,40.0902079948846
"FF","2025-05-12","92.9","2.2","6.18","Suzuki, Seiya",673548,685107,"home_run","hit_into_play",,,,,5,"Seiya Suzuki homers (10) on a line drive to left center field. Kyle Tucker scores.","R","R","L","CHC","MIA","X",,"line_drive",3,2,2025,"0.89","1.13",0.2448718659261253,2.528444443116656,663656,,,2,5,"Bot",80.8,37.85,,,,,-6.93571143814593,-135.20477999858505,-6.0934543752889425,12.324183660764772,26.577240108738433,-17.17009064421759,3.17,1.42,413,"106.7",20,"93.2",2208,"6.2",777952,689414,670223,682927,688363,669364,669065,656537,660821,"54.28",0.648,1.1067714285714283,"2",1,0,3,6,40,6,"4-Seam Fastball",3,0,3,0,0,5,5,0,"Standard","Standard",129,"0.073","1.471","76.4","7.3",2.065,"-1.471","106.7",3,3,0.881,0.881,27,30,28,31,1,2,1,1,25,1,"1.49","0.89","-0.89","31.9",4.953704474060779,-2.9786441700440114,28.013861688379258,40.56440737128913,33.994303694123566
"FF","2025-09-25","91.2","2.38","5.41","Lindor, Francisco",596019,684007,"home_run","hit_into_play",,,,,4,"Francisco Lindor homers (30) on a fly ball to left field.","R","R","L","CHC","NYM","X",,"fly_ball",1,0,2025,"0.92","1.51",-0.7995044527960437,2.432836439770752,,,,1,3,"Top",33.11,61.83,,,,,-9.905634922867467,-132.48522644787246,-4.810914172770939,12.958479978629033,27.55986586008279,-13.555332343904892,3.44,1.58,407,"106.6",34,"90.7",2442,"6",776187,608348,683737,663538,807713,621020,664023,691718,673548,"54.46",0.786,1.587611111111111,"2",1,0,3,6,18,2,"4-Seam Fastball",0,2,2,0,3,0,3,0,"Standard","Standard",140,"-0.085","1.544","79.4","7.6",3.132,"-1.544","106.6",-2,2,0.304,0.696,31,31,32,32,2,1,6,1,6,1,"1.24","0.92","-0.92","36.6",17.032955674997446,-19.89650323268649,33.63704760802946,27.32514747488936,35.04957732234307
"CH","2025-09-24","77.7","2.09","5.67","Alvarez, Francisco",682626,571510,"home_run","hit_into_play",,,,,5,"Francisco Alvarez homers (11) on a fly ball to left field. Mark Vientos scores.","R","R","L","CHC","NYM","X",,"fly_ball",2,2,2025,"1.39","0.74",0.13645785701365787,2.4838631518649414,,,668901,1,5,"Top",50.98,56.92,,,,,-6.6860601435731,-112.94364578892592,-1.2357134645958883,13.094617392727006,21.42973236836887,-25.823104322464122,3.33,1.51,413,"106.6",31,"77.2",1589,"6.1",776205,608348,683737,663538,807713,621020,664023,691718,673548,"54.45",0.85,1.7121,"2",1,0,3,6,37,6,"Changeup",6,0,0,6,2,6,2,6,"Standard","Standard",121,"-0.049","1.498","74.1","7.6",3.377,"-1.498","106.6",6,-6,0.963,0.03700000000000003,34,23,34,24,2,1,7,1,6,2,"3.05","1.39","-1.39","32.3",15.242743121040641,-10.401065088296843,27.398558593879393,39.50702668615797,36.00998305884367
"FF","2025-09-02","90.7","2.36","5.44","White, Eli",642201,684007,"home_run","hit_into_play",,,,,5,"Eli White homers (8) on a fly ball to left center field.","R","R","L","CHC","ATL","X",,"fly_ball",1,0,2025,"1.15","1.43",-0.12497511777022408,2.556092445340341,,,,0,5,"Top",56.5,48.49,,,,,-8.636663293330573,-131.61909791465922,-4.247558365793021,15.259252189690681,31.1465691259926,-14.880121089722696,3.74,1.75,409,"106.5",26,"89.8",2632,"6.2",776487,608348,457759,663538,807713,621020,664023,682634,663656,"54.32",0.813,1.6162280701754383,"2",1,0,3,6,35,2,"4-Seam Fastball",4,2,2,4,3,4,3,4,"Standard","Standard",144,"-0.108","1.073","78.4","7.6",3.176,"-1.073","106.5",2,-2,0.746,0.254,31,31,32,31,2,1,5,2,6,1,"1.38","1.15","-1.15","36.4",10.767867896879128,-11.698696128342593,34.000355556380185,37.31423709888552,35.50960945554641
"FF","2025-06-19","96.3","-3.29","5.31","Crow-Armstrong, Pete",691718,642547,"home_run","hit_into_play",,,,,11,"Pete Crow-Armstrong homers (20) on a fly ball to right field. Kyle Tucker scores.","R","L","R","CHC","MIL","X",,"fly_ball",1,2,2025,"-0.46","1.36",-0.08004493469918972,3.2285307017203184,,,663656,2,1,"Bot",205.9,68.86,,,,,9.69512696023316,-139.9019018188219,-3.0901893195799723,-8.163820921301111,30.49710717459271,-13.716544030077213,3.1,1.43,377,"106.5",24,"97.7",2459,"7.1",777450,661388,656555,668930,702332,687401,686555,694192,686217,"53.42",0.787,1.5137924528301885,"2",1,0,3,6,8,5,"4-Seam Fastball",0,1,0,1,1,2,2,1,"Standard","Standard",202,"0.199","2.314","75.3","7.5",2.953,"-2.314","106.5",-1,-1,0.413,0.413,29,23,29,23,1,0,6,2,5,1,"1.1","0.46","-0.46","40.6",19.419458066075105,-6.630526384601453,24.170709771313383,39.02742852783351,35.915902054078686
"SL","2025-07-05","81.5","-0.7","6.84","Gorman, Nolan",669357,623167,"home_run","hit_into_play",,,,,8,"Nolan Gorman homers (8) on a fly ball to center field.","R","L","R","CHC","STL","X",,"fly_ball",1,2,2025,"0.14","-0.81",-0.0843847335173197,2.1559041212380095,,,,0,4,"Top",82.71,34.39,,,,,1.1250170911893682,-118.75064698353691,-2.3652368083203745,1.0481426993206633,24.02980479962566,-39.5224988192812,3.5,1.63,420,"106.5",29,"81.5",2540,"6.4",777229,608348,683737,663538,807713,621020,664023,691718,663656,"54.14",0.822,1.6544473684210526,"2",1,0,3,6,31,4,"Slider",1,2,2,1,3,1,3,1,"Infield shade","Standard",32,"-0.113","1.184","75.2","7.7",3.26,"-1.184","106.5",-1,1,0.384,0.616,30,25,31,25,2,1,2,1,6,3,"4.25","-0.14","0.14","64.0",8.841890187873464,12.206981356697248,32.22564024091867,43.459463908158874,30.806532003011483
"FF","2025-09-07","91.1","1.51","6.27","Kelly, Carson",608348,674841,"home_run","hit_into_play",,,,,7,"Carson Kelly homers (15) on a line drive to left center field.","R","R","L","CHC","WSH","X",,"line_drive",1,1,2025,"0.4","0.74",-0.32441843600028103,1.7104254860225363,,,,0,2,"Bot",81.5,50.39,,,,,-5.475524360694085,-132.67609584245122,-7.299713669166765,5.707932357306377,22.31095907778211,-22.197164251685532,3.41,1.67,384,"106.4",21,"92.2",2311,"6.4",776420,656180,665953,671277,691781,682928,695734,690987,686611,"54.07",0.643,1.1103902439024387,"2",1,0,3,6,10,3,"4-Seam Fastball",0,0,0,0,0,1,1,0,"Standard","Standard",146,"0.106","1.123","73.4","7.3",2.087,"-1.123","106.4",0,0,0.55,0.55,26,30,26,31,1,0,6,1,6,2,"1.95","0.4","-0.4","44.0",5.683667958479605,-3.5475856081446002,42.42933375692584,35.01710655655249,29.593171417394554
"FF","2025-06-20","94.2","-0.09","6.14","Raleigh, Cal",663728,573204,"home_run","hit_into_play",,,,,5,"Cal Raleigh homers (29) on a fly ball to left field. Julio Rodríguez scores.","R","R","L","CHC","SEA","X",,"fly_ball",1,1,2025,"0.28","1.57",0.08731547975321216,2.347151109843945,,,677594,2,7,"Top",22.78,86.03,,,,,-0.14586861900690873,-137.02026866770555,-7.60430986254968,3.5349127835982497,30.069983774488122,-10.912771236288778,3.7,1.73,419,"106.3",27,"93.9",2406,"6.1",777436,624512,683737,663538,807713,621020,664023,691718,663656,"54.37",0.831,1.6490338983050845,"2",1,0,3,6,55,3,"4-Seam Fastball",4,4,4,4,6,4,6,4,"Infield shade","Standard",167,"-0.337","2.241","81.3","8.7",3.255,"-2.241","106.3",0,0,0.549,0.45099999999999996,38,28,38,29,1,3,3,2,1,1,"1","0.28","-0.28","59.7",24.46232676850994,-20.863475852952355,33.47142703505535,35.525976343239876,42.444750130498605
"SL","2025-06-22","84","-1.58","5.6","Canzone, Dominic",686527,607067,"home_run","hit_into_play",,,,,6,"Dominic Canzone homers (3) on a fly ball to right field.","R","L","R","CHC","SEA","X",,"fly_ball",0,0,2025,"0.13","-0.14",0.7893732704169837,2.246579576723166,,,,1,6,"Top",234.7,79.24,,,,,5.258497487884736,-122.24324219557151,-1.049121887654509,0.15481449185015014,25.941938888809936,-33.5644232534728,3.27,1.48,397,"106.3",41,"84.1",2116,"6.5",777403,624512,683737,660644,807713,663538,664023,691718,673548,"53.98",0.398,0.80375,"2",1,0,3,6,48,1,"Slider",4,5,5,4,6,4,6,4,"Infield shade","Standard",87,"-0.127","1.583","74.5","7.8",1.583,"-1.583","106.3",-1,1,0.365,0.635,34,27,35,28,3,2,7,4,6,1,"3.39","-0.13","0.13","29.9",25.315358518021803,-19.555304962238303,33.384997021847255,29.50715474210693,50.276660150738934
